Job_ID,Unit_ID,Worker_ID,AcceptTime,SubmitTime,Judgments,Spam,Islands_disputed_between_China_and_Japan,Korean_MV_Sewol_ferry_sinking,Japan_whaling_and_dolphin_hunting,Davos_world_economic_forum_2014,Disappearance_of_Malaysia_Airlines_Flight_370,anti_China_protests_in_Vietnam,Ukraine_crisis_2014,FIFA_worldcup_2014,NONE
49,47,1901929,2015-02-20T11:50:28+00:00,2015-02-20T11:50:37+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,47,18960682,2015-02-20T12:28:29+00:00,2015-02-20T12:28:42+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,47,21417560,2015-02-20T11:18:18+00:00,2015-02-20T11:18:33+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,47,24252915,2015-02-20T11:43:59+00:00,2015-02-20T11:44:20+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,47,29881713,2015-02-20T11:14:47+00:00,2015-02-20T11:15:44+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,47,31285455,2015-02-20T11:19:46+00:00,2015-02-20T11:19:57+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,47,31372936,2015-02-20T12:21:17+00:00,2015-02-20T12:21:45+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,48,12165381,2015-02-20T14:16:37+00:00,2015-02-20T14:21:13+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,48,12691973,2015-02-20T14:04:26+00:00,2015-02-20T14:04:55+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],1,0,0,0,0,1,0,0,0,0
49,48,23352788,2015-02-20T13:57:31+00:00,2015-02-20T13:57:53+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,48,24796792,2015-02-20T15:40:20+00:00,2015-02-20T15:40:48+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],1,0,0,0,0,1,0,0,0,0
49,48,29411108,2015-02-20T13:44:39+00:00,2015-02-20T13:44:57+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,48,30064988,2015-02-20T16:37:51+00:00,2015-02-20T16:40:17+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,48,31308168,2015-02-20T16:31:45+00:00,2015-02-20T16:32:58+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],1,0,0,0,0,1,0,0,0,0
49,49,11106820,2015-02-20T13:20:32+00:00,2015-02-20T13:20:50+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,49,23352788,2015-02-20T13:55:23+00:00,2015-02-20T13:55:54+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,49,26336767,2015-02-20T13:11:25+00:00,2015-02-20T13:11:38+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,49,27934334,2015-02-20T13:32:21+00:00,2015-02-20T13:32:32+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,49,28675156,2015-02-20T13:26:09+00:00,2015-02-20T13:26:25+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,49,29411108,2015-02-20T13:43:26+00:00,2015-02-20T13:43:37+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,49,31127245,2015-02-20T13:02:54+00:00,2015-02-20T13:03:06+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,50,11106820,2015-02-20T13:20:10+00:00,2015-02-20T13:20:31+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,50,23352788,2015-02-20T13:54:30+00:00,2015-02-20T13:55:21+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,50,26336767,2015-02-20T13:10:54+00:00,2015-02-20T13:11:24+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,50,27934334,2015-02-20T13:32:10+00:00,2015-02-20T13:32:21+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,50,28675156,2015-02-20T13:25:20+00:00,2015-02-20T13:25:50+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,50,29411108,2015-02-20T13:43:14+00:00,2015-02-20T13:43:25+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,50,31127245,2015-02-20T13:02:37+00:00,2015-02-20T13:02:53+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,54,12691973,2015-02-20T14:06:01+00:00,2015-02-20T14:06:14+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],1,0,0,0,0,1,0,0,0,0
49,54,13581319,2015-02-20T19:04:26+00:00,2015-02-20T19:04:35+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,54,21551272,2015-02-20T19:27:17+00:00,2015-02-20T19:28:21+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,54,24796792,2015-02-20T15:41:34+00:00,2015-02-20T15:42:10+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],1,0,0,0,0,1,0,0,0,0
49,54,30064988,2015-02-20T16:41:42+00:00,2015-02-20T16:42:02+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,54,30144450,2015-02-20T16:45:58+00:00,2015-02-20T16:47:05+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,54,31308168,2015-02-20T16:34:00+00:00,2015-02-20T16:34:12+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],1,0,0,0,0,1,0,0,0,0
49,55,1901929,2015-02-20T11:49:27+00:00,2015-02-20T11:49:43+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,55,20045399,2015-02-20T11:12:09+00:00,2015-02-20T11:12:28+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,55,21417560,2015-02-20T11:16:13+00:00,2015-02-20T11:16:37+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,55,24252915,2015-02-20T11:39:18+00:00,2015-02-20T11:42:08+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,55,29881713,2015-02-20T11:12:33+00:00,2015-02-20T11:13:12+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,55,31285455,2015-02-20T11:18:24+00:00,2015-02-20T11:19:00+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,55,31372936,2015-02-20T12:16:09+00:00,2015-02-20T12:18:43+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,56,1901929,2015-02-20T11:50:00+00:00,2015-02-20T11:50:15+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,56,18960682,2015-02-20T12:28:04+00:00,2015-02-20T12:28:17+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,56,21417560,2015-02-20T11:17:37+00:00,2015-02-20T11:18:00+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,56,24252915,2015-02-20T11:42:35+00:00,2015-02-20T11:42:50+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,56,29881713,2015-02-20T11:13:43+00:00,2015-02-20T11:14:18+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,56,31285455,2015-02-20T11:19:14+00:00,2015-02-20T11:19:33+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,56,31372936,2015-02-20T12:19:42+00:00,2015-02-20T12:20:36+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,57,12691973,2015-02-20T14:08:06+00:00,2015-02-20T14:08:20+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],1,0,0,0,0,1,0,0,0,0
49,57,21551272,2015-02-20T19:30:15+00:00,2015-02-20T19:30:36+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,57,24796792,2015-02-20T15:43:03+00:00,2015-02-20T15:43:21+00:00,[anti_China_protests_in_Vietnam],1,0,0,0,0,0,1,0,0,0
49,57,30064988,2015-02-20T16:43:55+00:00,2015-02-20T16:44:11+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,57,30130805,2015-02-20T21:15:10+00:00,2015-02-20T21:15:22+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],1,0,0,0,0,1,0,0,0,0
49,57,30144450,2015-02-20T16:48:17+00:00,2015-02-20T16:48:30+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
49,57,31308168,2015-02-20T16:35:36+00:00,2015-02-20T16:35:49+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],1,0,0,0,0,1,0,0,0,0
49,58,11106820,2015-02-20T13:19:02+00:00,2015-02-20T13:19:43+00:00,[Disappearance_of_Malaysia_Airlines_Flight_370],0,0,0,0,0,1,0,0,0,0
