"Sent_id","Work_id","judgement","source","spam","opt_judg","start_time","end_time"
908088,19803139,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 18:46:42,2014-07-13 18:47:01
908088,18517457,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 18:47:14,2014-07-13 18:47:32
908088,27793793,"[causes]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0,"cause",2014-07-13 18:47:35,2014-07-13 18:47:48
908088,2143114,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 18:54:53,2014-07-13 18:55:09
908088,19686223,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 19:07:48,2014-07-13 19:08:24
908088,27871219,"[causes]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0,"cause",2014-07-13 19:12:21,2014-07-13 19:13:47
908088,25990856,"[associated_with]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0,"none",2014-07-13 19:27:55,2014-07-13 19:28:25
908088,15189335,"[causes]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0,"cause",2014-07-13 19:33:42,2014-07-13 19:34:22
908088,28276268,"[diagnose_by_test_or_drug]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",1,"none",2014-07-13 19:34:04,2014-07-13 19:34:55
908088,24482174,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 19:49:33,2014-07-13 19:50:07
908088,19192508,"[diagnose_by_test_or_drug]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0,"none",2014-07-13 19:52:52,2014-07-13 19:53:35
908088,21916793,"[associated_with]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0,"none",2014-07-13 20:29:46,2014-07-13 20:31:33
908088,18755947,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 20:45:11,2014-07-13 20:45:37
908088,28397222,"[part_of]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0,"none",2014-07-13 21:13:40,2014-07-13 21:16:43
908088,26649250,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 21:16:10,2014-07-13 21:16:44
908089,27871219,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 18:46:23,2014-07-13 18:47:02
908089,2143114,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 18:55:10,2014-07-13 18:55:26
908089,18517457,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 18:55:41,2014-07-13 18:55:54
908089,25451531,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 18:59:14,2014-07-13 18:59:48
908089,17610000,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",1," treat",2014-07-13 19:01:13,2014-07-13 19:01:23
908089,21515166,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 19:08:54,2014-07-13 19:09:33
908089,19686223,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 19:11:48,2014-07-13 19:12:43
908089,25990856,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 19:21:24,2014-07-13 19:21:40
908089,13763729,"[treats]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0," treat",2014-07-13 19:44:32,2014-07-13 19:44:56
908089,24482174,"[diagnose_by_test_or_drug]","expert_run/output/RelEx/10/RelEx_batch_10_withFactSpan_cause.csv",0,"none",2014-07-13 19:48:14,2014-07-13 19:48:49
