unit,duration,input.avg_rating,input.bitdepth,input.bitrate,input.channels,input.description,input.duration,input.experiment_url,input.group,input.id,input.license,input.name,input.num_ratings,input.preview-hq-mp3,input.preview-hq-ogg,input.samplerate,input.tags,input.type,input.url,input.username,job,metrics.avg_magnitude,metrics.avg_max_relation_Cos,metrics.avg_norm_magnitude,metrics.avg_vector_size,output.keywords,output.keywords.metrics,worker
725642063,45.2,3.6428571429,16,1411,2,Part of a pack of hits extracted from a recording of myself opening a car with the keys. Used as drum hits.,0.7778684807,http://kyoto.let.vu.nl/~miltenburg/sounds/200.mp3,371,200,http://creativecommons.org/licenses/by/3.0/,9.wav,21,https://www.freesound.org/data/previews/0/200_23-hq.mp3,https://www.freesound.org/data/previews/0/200_23-hq.ogg,44100,machine,wav,https://www.freesound.org/people/plagasul/sounds/200/,plagasul,f730379_9_264,4.7958315233,0.6255432422,0.2821077367,15,"Counter({'click': 3, 'flicking_thru_paper': 1, 'tap': 1, 'patter': 1, 'clicking': 1, 'scrape': 1, 'moon': 1, 'shutter': 1, 'tipple': 1, 'camera': 1, 'newsprint': 1, 'rattling': 1, 'typewriter': 1, 'ripping': 1, 'grinding': 1})","{'vector_size': 15, 'magnitude': 4.7958315233127191, 'max_relation_Cos': 0.62554324217122437, 'norm_magnitude': 0.28210773666545408}",10
689712760,50.5,3.6363636364,16,768,1,Recording of my HP Scanner. processed with Adobe Audition to remove some of the noise (worked quite well IMO),15.95625,http://kyoto.let.vu.nl/~miltenburg/sounds/538.mp3,,538,http://creativecommons.org/licenses/by/3.0/,scanner_NR.wav,33,https://www.freesound.org/data/previews/0/538_58-hq.mp3,https://www.freesound.org/data/previews/0/538_58-hq.ogg,48000,household electric gritty machine noise processed,wav,https://www.freesound.org/people/Anton/sounds/538/,Anton,f702793,5.8309518948,0.6859943406,0.2650432679,19,"Counter({'machine': 4, 'drill': 1, 'can_opener': 1, 'printer': 1, 'scanner': 1, 'dot_matrix_printer': 1, 'car': 1, 'tool': 1, 'concrete_coring': 1, 'startup': 1, 'grinding': 1, 'grind': 1, 'lawn_mower': 1, 'drilling': 1, 'motor': 1, 'mechanical': 1, 'annoying': 1, 'whirring': 1, 'machinery': 1})","{'vector_size': 19, 'magnitude': 5.8309518948453007, 'max_relation_Cos': 0.68599434057003528, 'norm_magnitude': 0.26504326794751365}",10
637324963,59.5,4,16,1411,2,percussion kit from a family pancakes party,0.52537415,,,592,http://creativecommons.org/licenses/by-nc/3.0/,ass2.aif,5,https://www.freesound.org/data/previews/0/592_291-hq.mp3,https://www.freesound.org/data/previews/0/592_291-hq.ogg,44100,"fork,knife,kitchen",aif,https://www.freesound.org/people/dropthedyle/sounds/592/,dropthedyle,f669064,3.7416573868,0.2672612419,0.2672612419,14,"Counter({'pans': 1, 'metal_on_metal': 1, 'clank': 1, 'crash': 1, 'rattle': 1, 'scraping': 1, 'drop': 1, 'metal': 1, 'clanging': 1, 'smashing_glass': 1, 'grid': 1, 'rattling': 1, 'glass_breaking': 1, 'metallic_grinding': 1})","{'vector_size': 14, 'magnitude': 3.7416573867739413, 'max_relation_Cos': 0.2672612419124244, 'norm_magnitude': 0.2672612419124244}",10
721132719,54.3,4.2175572519,16,705,1,a light 808 style drum machine kick,0.3580272109,http://kyoto.let.vu.nl/~miltenburg/sounds/777.mp3,26,777,http://creativecommons.org/licenses/by-nc/3.0/,808_kick.wav,262,https://www.freesound.org/data/previews/0/777_207-hq.mp3,https://www.freesound.org/data/previews/0/777_207-hq.ogg,44100,drum machine,wav,https://www.freesound.org/people/vitriolix/sounds/777/,vitriolix,f725902_3_60,4.6904157598,0.4264014327,0.3350296971,10,"Counter({'tap': 2, 'beat': 2, 'hit': 2, 'silence': 2, '': 1, 'boomp': 1, 'bump': 1, 'static': 1, 'thump': 1, 'click': 1})","{'vector_size': 10, 'magnitude': 4.6904157598234297, 'max_relation_Cos': 0.42640143271122088, 'norm_magnitude': 0.335029697130245}",10
722683659,58,3.8,16,705,1,"clicks, pops, and hiss from some dirty knobs on the parametric EQ of a tascam m-16 console.  recorded at 2310 multimedia facility in madison, wi.",1.6627210884,http://kyoto.let.vu.nl/~miltenburg/sounds/1482.mp3,126,1482,http://creativecommons.org/licenses/by/3.0/,tascamGlitch1.wav,30,https://www.freesound.org/data/previews/1/1482_1198-hq.mp3,https://www.freesound.org/data/previews/1/1482_1198-hq.ogg,44100,glitch minimal noise,wav,https://www.freesound.org/people/nicStage/sounds/1482/,nicStage,f727503_6_150,4.7958315233,0.6255432422,0.3197221016,12,"Counter({'rattle': 3, 'static': 2, '': 1, 'shuffle': 1, 'shuffling': 1, 'send': 1, 'blowing_sound': 1, 'firework': 1, 'aerosol': 1, 'drill': 1, 'click': 1, 'crackling': 1})","{'vector_size': 12, 'magnitude': 4.7958315233127191, 'max_relation_Cos': 0.62554324217122437, 'norm_magnitude': 0.31972210155418129}",10
725641938,60.1,3.25,16,705,1,"clicks, pops, and hiss from some dirty knobs on the parametric EQ of a tascam m-16 console.  recorded at 2310 multimedia facility in madison, wi.",1.3267800454,http://kyoto.let.vu.nl/~miltenburg/sounds/1484.mp3,329,1484,http://creativecommons.org/licenses/by/3.0/,tascamGlitch3.wav,10,https://www.freesound.org/data/previews/1/1484_1198-hq.mp3,https://www.freesound.org/data/previews/1/1484_1198-hq.ogg,44100,glitch minimal noise,wav,https://www.freesound.org/people/nicStage/sounds/1484/,nicStage,f730379_9_264,4.6904157598,0.6396021491,0.3350296971,11,"Counter({'static': 3, 'air': 2, '': 1, 'hoover': 1, 'electric_synthesizer': 1, 'compressed_air': 1, 'water': 1, 'vacuume': 1, 'dial_tone': 1, 'buzz': 1, 'hissing': 1})","{'vector_size': 11, 'magnitude': 4.6904157598234297, 'max_relation_Cos': 0.63960214906683133, 'norm_magnitude': 0.335029697130245}",10
689712708,108.5,3.9411764706,16,705,1,"clicks, pops, and hiss from some dirty knobs on the parametric EQ of a tascam m-16 console.  recorded at 2310 multimedia facility in madison, wi.",0.2959410431,http://kyoto.let.vu.nl/~miltenburg/sounds/1485.mp3,,1485,http://creativecommons.org/licenses/by/3.0/,tascamGlitch4.wav,17,https://www.freesound.org/data/previews/1/1485_1198-hq.mp3,https://www.freesound.org/data/previews/1/1485_1198-hq.ogg,44100,glitch minimal noise,wav,https://www.freesound.org/people/nicStage/sounds/1485/,nicStage,f702793,4.472135955,0.2236067977,0.2236067977,20,"Counter({'sound': 1, 'clink': 1, 'typing_key': 1, 'technic': 1, 'rattle': 1, 'screwing': 1, 'coins': 1, 'grainy': 1, 'metallic': 1, 'ching': 1, 'strange': 1, 'rattling': 1, 'scratching': 1, 'clinking': 1, 'weird': 1, 'buzz': 1, 'electronic': 1, 'bird': 1, 'chink': 1, 'itchy': 1})","{'vector_size': 20, 'magnitude': 4.4721359549995796, 'max_relation_Cos': 0.22360679774997894, 'norm_magnitude': 0.22360679774997899}",10
723515356,72.1,3.9117647059,16,705,1,"cassette ""fast forward"" sound.  squeal!!
I didn't mean to make this...",0.5078231293,http://kyoto.let.vu.nl/~miltenburg/sounds/2160.mp3,179,2160,http://creativecommons.org/licenses/by/3.0/,tapePiggy.wav,68,https://www.freesound.org/data/previews/2/2160_1198-hq.mp3,https://www.freesound.org/data/previews/2/2160_1198-hq.ogg,44100,cassette glitch machine tape,wav,https://www.freesound.org/people/nicStage/sounds/2160/,nicStage,f727918_7_180,4.2426406871,0.4714045208,0.2651650429,15,"Counter({'whir': 2, '': 1, 'swivel': 1, 'zip': 1, 'eerie': 1, 'rewinding_tape': 1, 'fast': 1, 'high': 1, 'beats': 1, 'static': 1, 'drill': 1, 'buzz': 1, 'scratching': 1, 'whirring': 1, 'squeal': 1})","{'vector_size': 15, 'magnitude': 4.2426406871192848, 'max_relation_Cos': 0.47140452079103179, 'norm_magnitude': 0.2651650429449553}",10
689712890,85.2,4.6363636364,16,1411,2,sound-design created by processing detritus with Adobe Audition,4.4146938776,http://kyoto.let.vu.nl/~miltenburg/sounds/2222.mp3,,2222,http://creativecommons.org/licenses/by/3.0/,brown.wav,11,https://www.freesound.org/data/previews/2/2222_3525-hq.mp3,https://www.freesound.org/data/previews/2/2222_3525-hq.ogg,44100,clicks glitch noise noisy processed rhythmic 2-bars sound-design,wav,https://www.freesound.org/people/Andrew%20Duke/sounds/2222/,Andrew Duke,f702793,3.4641016151,0.5773502692,0.3464101615,9,"Counter({'music': 2, 'drum': 1, 'gooble': 1, 'muffled_dubstep': 1, 'splash': 1, 'static': 1, 'vibrate': 1, 'gurgling': 1, 'electronic_distortion': 1})","{'vector_size': 9, 'magnitude': 3.4641016151377544, 'max_relation_Cos': 0.57735026918962584, 'norm_magnitude': 0.34641016151377546}",10
689712761,50.5,3.90625,16,1411,2,click of a needle on an old record (different),4.6497959184,http://kyoto.let.vu.nl/~miltenburg/sounds/2258.mp3,,2258,http://creativecommons.org/licenses/by/3.0/,click2.wav,16,https://www.freesound.org/data/previews/2/2258_3525-hq.mp3,https://www.freesound.org/data/previews/2/2258_3525-hq.ogg,44100,click noise turntable field-recording glitch hiss detritus vinyl,wav,https://www.freesound.org/people/Andrew%20Duke/sounds/2258/,Andrew Duke,f702793,5.0990195136,0.7844645406,0.3642156795,11,"Counter({'static': 4, 'record_player': 1, 'growl': 1, 'low_rumbling': 1, 'scratch': 1, 'white_noise': 1, 'radiation': 1, 'artificial': 1, 'background_noise': 1, 'grunt': 1, 'low_pitched': 1})","{'vector_size': 11, 'magnitude': 5.0990195135927845, 'max_relation_Cos': 0.78446454055273618, 'norm_magnitude': 0.36421567954234174}",10
