Job_ID,Unit_ID,Worker_ID,AcceptTime,SubmitTime,Annotations,Spam
245,1,4688131,6/26/2015 01:42:56,6/26/2015 01:43:18,"hit, high, unveiled, was, plagued, plunged",0
245,1,10798016,6/25/2015 21:16:47,6/25/2015 21:17:35,"unveiled, plagued, plunged",0
245,1,11460728,6/26/2015 07:27:15,6/26/2015 07:27:57,"unveiled, its, Adam, home, computer",1
245,1,14528761,6/25/2015 21:49:58,6/25/2015 21:50:11,[NONE],0
245,1,17950689,6/25/2015 21:17:52,6/25/2015 21:20:26,[NONE],1
245,1,18531561,6/25/2015 22:46:50,6/25/2015 22:47:51,"Avon, Conn, company, stock, hit, high, 1983, after, it, unveiled, its, Adam, home, computer, product, was, plagued, with, glitches, company, fortunes, plunged",1
245,1,18881135,6/25/2015 22:04:00,6/25/2015 22:04:44,"hit, unveiled, plunged",0
245,1,20845955,6/25/2015 19:23:19,6/25/2015 19:23:45,[NONE],0
245,1,21665495,6/25/2015 20:31:26,6/25/2015 20:31:54,"company, stock, hit, high",0
245,1,21875134,6/25/2015 22:42:25,6/25/2015 22:43:41,"hit, high, unveiled, plagued, with, glitches, fortunes, plunged",0
245,1,22031444,6/26/2015 07:42:15,6/26/2015 07:43:19,"unveiled, plagued, plunged",0
245,1,30326470,6/25/2015 19:20:15,6/25/2015 19:20:44,"stock, hit, high, fortunes, plunged",0
245,1,31883685,6/26/2015 06:36:12,6/26/2015 06:36:43,"unveiled, plunged",0
245,1,31913360,6/26/2015 03:39:34,6/26/2015 03:40:04,1983,1
245,1,32173500,6/25/2015 21:44:20,6/25/2015 21:44:51,"hit, high, unveiled, plagued, with, glitches, company, fortunes, plunged",0
245,2,6340330,6/28/2015 18:09:45,6/28/2015 18:10:00,thrift,0
245,2,14475688,6/29/2015 01:10:31,6/29/2015 01:11:06,"said, statement, accounting, changes",0
245,2,16101132,6/29/2015 17:20:25,6/29/2015 17:20:40,statement,0
245,2,16465220,6/29/2015 17:27:41,6/29/2015 17:28:10,"Thomas, Spiegel, Columbia, chairman",1
245,2,20983359,6/28/2015 23:44:06,6/28/2015 23:44:38,effects,0
245,2,24088858,6/28/2015 22:41:25,6/28/2015 22:41:42,"said, effects",1
245,2,27949758,6/29/2015 17:27:45,6/29/2015 17:27:52,said,1
245,2,28103910,6/28/2015 21:03:22,6/28/2015 21:03:40,"accounting, changes",0
245,2,28163523,6/29/2015 17:14:57,6/29/2015 17:15:47,"said, statement, accounting, changes",1
